date, Population, Annual Change
12/31/1950,137000,
12/31/1951,142000,3.65
12/31/1952,146000,2.82
12/31/1953,151000,3.42
12/31/1954,156000,3.31
12/31/1955,161000,3.21
12/31/1956,166000,3.11
12/31/1957,171000,3.01
12/31/1958,177000,3.51
12/31/1959,183000,3.39
12/31/1960,189000,3.28
12/31/1961,195000,3.17
12/31/1962,202000,3.59
12/31/1963,209000,3.47
12/31/1964,217000,3.83
12/31/1965,224000,3.23
12/31/1966,232000,3.57
12/31/1967,240000,3.45
12/31/1968,249000,3.75
12/31/1969,258000,3.61
12/31/1970,267000,3.49
12/31/1971,277000,3.75
12/31/1972,287000,3.61
12/31/1973,297000,3.48
12/31/1974,308000,3.7
12/31/1975,320000,3.9
12/31/1976,331000,3.44
12/31/1977,344000,3.93
12/31/1978,356000,3.49
12/31/1979,369000,3.65
12/31/1980,383000,3.79
12/31/1981,399000,4.18
12/31/1982,415000,4.01
12/31/1983,431000,3.86
12/31/1984,448000,3.94
12/31/1985,466000,4.02
12/31/1986,485000,4.08
12/31/1987,504000,3.92
12/31/1988,525000,4.17
12/31/1989,546000,4
12/31/1990,569000,4.21
12/31/1991,596000,4.75
12/31/1992,625000,4.87
12/31/1993,655000,4.8
12/31/1994,687000,4.89
12/31/1995,720000,4.8
12/31/1996,755000,4.86
12/31/1997,792000,4.9
12/31/1998,830000,4.8
12/31/1999,870000,4.82
12/31/2000,911000,4.71
12/31/2001,950000,4.28
12/31/2002,990000,4.21
12/31/2003,1031000,4.14
12/31/2004,1075000,4.27
12/31/2005,1120000,4.19
12/31/2006,1167000,4.2
12/31/2007,1216000,4.2
12/31/2008,1268000,4.28
12/31/2009,1321000,4.18
12/31/2010,1377000,4.24
12/31/2011,1434000,4.14
12/31/2012,1495000,4.25
12/31/2013,1558000,4.21
12/31/2014,1623000,4.17
12/31/2015,1692000,4.25
12/31/2016,1763000,4.2
12/31/2017,1838000,4.25
12/31/2018,1915000,4.19
12/31/2019,1985000,3.66
12/31/2020,2053000,3.43
12/31/2021,2117000,3.12
12/31/2022,2176000,2.79
12/31/2023,2228000,2.39
12/31/2024,2274000,2.06
12/31/2025,2313000,1.72
12/31/2026,2348000,1.51
12/31/2027,2378000,1.28
12/31/2028,2405000,1.14
12/31/2029,2430000,1.04
12/31/2030,2453000,0.95
12/31/2031,2475000,0.9
12/31/2032,2497000,0.89
12/31/2033,2519000,0.88
12/31/2034,2540000,0.83
12/31/2035,2560000,0.79
