date, Population, Annual Change
12/31/1950,454000,
12/31/1951,470000,3.52
12/31/1952,487000,3.62
12/31/1953,505000,3.7
12/31/1954,523000,3.56
12/31/1955,542000,3.63
12/31/1956,562000,3.69
12/31/1957,582000,3.56
12/31/1958,603000,3.61
12/31/1959,625000,3.65
12/31/1960,645000,3.2
12/31/1961,657000,1.86
12/31/1962,669000,1.83
12/31/1963,682000,1.94
12/31/1964,695000,1.91
12/31/1965,707000,1.73
12/31/1966,721000,1.98
12/31/1967,734000,1.8
12/31/1968,748000,1.91
12/31/1969,762000,1.87
12/31/1970,776000,1.84
12/31/1971,792000,2.06
12/31/1972,808000,2.02
12/31/1973,825000,2.1
12/31/1974,842000,2.06
12/31/1975,859000,2.02
12/31/1976,876000,1.98
12/31/1977,894000,2.05
12/31/1978,912000,2.01
12/31/1979,931000,2.08
12/31/1980,949000,1.93
12/31/1981,966000,1.79
12/31/1982,983000,1.76
12/31/1983,1001000,1.83
12/31/1984,1019000,1.8
12/31/1985,1038000,1.86
12/31/1986,1056000,1.73
12/31/1987,1075000,1.8
12/31/1988,1095000,1.86
12/31/1989,1114000,1.74
12/31/1990,1134000,1.8
12/31/1991,1152000,1.59
12/31/1992,1171000,1.65
12/31/1993,1190000,1.62
12/31/1994,1210000,1.68
12/31/1995,1229000,1.57
12/31/1996,1249000,1.63
12/31/1997,1270000,1.68
12/31/1998,1290000,1.57
12/31/1999,1311000,1.63
12/31/2000,1337000,1.98
12/31/2001,1375000,2.84
12/31/2002,1414000,2.84
12/31/2003,1454000,2.83
12/31/2004,1496000,2.89
12/31/2005,1538000,2.81
12/31/2006,1582000,2.86
12/31/2007,1627000,2.84
12/31/2008,1674000,2.89
12/31/2009,1722000,2.87
12/31/2010,1771000,2.85
12/31/2011,1821000,2.82
12/31/2012,1873000,2.86
12/31/2013,1926000,2.83
12/31/2014,1981000,2.86
12/31/2015,2038000,2.88
12/31/2016,2096000,2.85
12/31/2017,2156000,2.86
12/31/2018,2217000,2.83
12/31/2019,2269000,2.35
12/31/2020,2320000,2.25
12/31/2021,2368000,2.07
12/31/2022,2413000,1.9
12/31/2023,2454000,1.7
12/31/2024,2491000,1.51
12/31/2025,2525000,1.36
12/31/2026,2556000,1.23
12/31/2027,2584000,1.1
12/31/2028,2611000,1.04
12/31/2029,2636000,0.96
12/31/2030,2661000,0.95
12/31/2031,2685000,0.9
12/31/2032,2709000,0.89
12/31/2033,2732000,0.85
12/31/2034,2755000,0.84
12/31/2035,2777000,0.8
