"Indicator Name","What Is This Indicator","Location Type",Location,"Indicator Rate Value","Indicator Rate Value Units","Rate Lower Confidence Interval","Rate Upper Confidence Interval","Indicator Count Value","Indicator Count Value Units","Count Lower Confidence Interval","Count Upper Confidence Interval","Indicator Value Unstable","Period of Measure","Data Source","Technical Note","Breakout Title","Breakout Category","Breakout Subcategory","Breakout Rate Value","Breakout Rate Value Units","Breakout Rate Lower Confidence Interval","Breakout Rate Upper Confidence Interval","Breakout Count Value","Breakout Count Value Units","Breakout Count Lower Confidence Interval","Breakout Count Upper Confidence Interval","Breakout Unstable","Breakout Footer"
"Houses Built Prior to 1950","This indicator shows the percentage of houses in the area built prior to 1950.
 

Numerator = Total estimate of housing units built prior to 1950
Denominator = Total estimate of housing units
",Neighborhood,"Acres Home",7.8,percent,6.0,9.6,1116,,-65235,67467,No,2015-2019,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
"Houses Built Prior to 1950","This indicator shows the percentage of houses in the area built prior to 1950.
 

Numerator = Total estimate of housing units built prior to 1950
Denominator = Total estimate of housing units
",Neighborhood,"Acres Home",7.0,percent,5.5,8.5,,,,,No,2014-2018,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
"Houses Built Prior to 1950","This indicator shows the percentage of houses in the area built prior to 1950.
 

Numerator = Total estimate of housing units built prior to 1950
Denominator = Total estimate of housing units
",Neighborhood,"Acres Home",6.6,percent,4.9,8.3,,,,,No,2013-2017,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
"Houses Built Prior to 1950","This indicator shows the percentage of houses in the area built prior to 1950.
 

Numerator = Total estimate of housing units built prior to 1950
Denominator = Total estimate of housing units
",Neighborhood,"Acres Home",7.0,percent,5.4,8.6,,,,,No,2012-2016,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
"Houses Built Prior to 1950","This indicator shows the percentage of houses in the area built prior to 1950.
 

Numerator = Total estimate of housing units built prior to 1950
Denominator = Total estimate of housing units
",Neighborhood,"Acres Home",7.6,percent,5.7,9.5,,,,,No,2011-2015,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
"Houses Built Prior to 1950","This indicator shows the percentage of houses in the area built prior to 1950.
 

Numerator = Total estimate of housing units built prior to 1950
Denominator = Total estimate of housing units
",Neighborhood,"Acres Home",6.2,percent,4.6,7.8,,,,,No,2010-2014,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
"Houses Built Prior to 1950","This indicator shows the percentage of houses in the area built prior to 1950.
 

Numerator = Total estimate of housing units built prior to 1950
Denominator = Total estimate of housing units
",Neighborhood,"Addicks Park Ten",0.7,percent,0.1,1.3,77,,-5252,5406,No,2015-2019,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
"Houses Built Prior to 1950","This indicator shows the percentage of houses in the area built prior to 1950.
 

Numerator = Total estimate of housing units built prior to 1950
Denominator = Total estimate of housing units
",Neighborhood,"Addicks Park Ten",0.5,percent,-0.2,1.2,,,,,No,2014-2018,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
"Houses Built Prior to 1950","This indicator shows the percentage of houses in the area built prior to 1950.
 

Numerator = Total estimate of housing units built prior to 1950
Denominator = Total estimate of housing units
",Neighborhood,"Addicks Park Ten",0.4,percent,-0.3,1.1,,,,,No,2013-2017,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
"Houses Built Prior to 1950","This indicator shows the percentage of houses in the area built prior to 1950.
 

Numerator = Total estimate of housing units built prior to 1950
Denominator = Total estimate of housing units
",Neighborhood,"Addicks Park Ten",0.4,percent,-0.3,1.1,,,,,No,2012-2016,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
